method,plot_label,bin_index,mean_v,mean_reachability
TD3 fixed tau 10M,TD3 fixed $\tau$ 10M,0,0.0031025534035550345,0.05696003686327078
TD3 fixed tau 10M,TD3 fixed $\tau$ 10M,1,0.15153738856315613,0.7417534722222222
TD3 fixed tau 10M,TD3 fixed $\tau$ 10M,2,0.25094457864761355,0.56796875
TD3 fixed tau 10M,TD3 fixed $\tau$ 10M,3,0.36160315573215485,0.4609375
TD3 fixed tau 10M,TD3 fixed $\tau$ 10M,4,0.4789181451002757,0.4231770833333333
TD3 fixed tau 10M,TD3 fixed $\tau$ 10M,5,0.5527033890996661,0.7243303571428571
TD3 fixed tau 10M,TD3 fixed $\tau$ 10M,6,0.6658718784650167,0.6471354166666666
TD3 fixed tau 10M,TD3 fixed $\tau$ 10M,7,0.7718433567455837,0.99609375
TD3 fixed tau 10M,TD3 fixed $\tau$ 10M,8,0.8622598458420146,0.8861860795454546
TD3 fixed tau 10M,TD3 fixed $\tau$ 10M,9,0.957431043449201,0.9617598684210527
TD3 random tau 10M,TD3 random $\tau$ 10M,0,0.003416500955075471,0.05479805424528302
TD3 random tau 10M,TD3 random $\tau$ 10M,1,0.14561197747077262,0.5521763392857143
TD3 random tau 10M,TD3 random $\tau$ 10M,2,0.23891533352434635,0.5908203125
TD3 random tau 10M,TD3 random $\tau$ 10M,3,0.3456633786360423,0.98046875
TD3 random tau 10M,TD3 random $\tau$ 10M,4,0.4557471200823784,0.68603515625
TD3 random tau 10M,TD3 random $\tau$ 10M,5,0.5502123475074768,0.9359375
TD3 random tau 10M,TD3 random $\tau$ 10M,6,0.6550909777482351,0.7369791666666666
TD3 random tau 10M,TD3 random $\tau$ 10M,7,0.7657427688439687,0.9156901041666666
TD3 random tau 10M,TD3 random $\tau$ 10M,8,0.8266360689611996,0.8563878676470589
TD3 random tau 10M,TD3 random $\tau$ 10M,9,0.9498377641042074,0.8044270833333333
PIRL 10M,PIRL 10M,0,0.005604485423633747,0.06409382370283019
PIRL 10M,PIRL 10M,1,0.14065536939435536,0.4418402777777778
PIRL 10M,PIRL 10M,2,0.23560195714235305,0.59453125
PIRL 10M,PIRL 10M,3,0.3393566856781642,0.693359375
PIRL 10M,PIRL 10M,4,0.44947842680490935,0.6712740384615384
PIRL 10M,PIRL 10M,5,0.5525195598602295,0.7014508928571429
PIRL 10M,PIRL 10M,6,0.6548596521218618,0.83203125
PIRL 10M,PIRL 10M,7,0.7602230376667447,0.7981770833333334
PIRL 10M,PIRL 10M,8,0.8485581763088703,0.901123046875
PIRL 10M,PIRL 10M,9,0.9281299809614817,0.9817708333333334
PIRL mixed 15M,PIRL 15M,0,0.005059450265838601,0.09559087643678162
PIRL mixed 15M,PIRL 15M,1,0.14460500068962573,0.6701171875
PIRL mixed 15M,PIRL 15M,2,0.2656036665042241,0.8263888888888888
PIRL mixed 15M,PIRL 15M,3,0.3467815965414047,0.65234375
PIRL mixed 15M,PIRL 15M,4,0.4422089755535126,0.8037109375
PIRL mixed 15M,PIRL 15M,5,0.5413568832657554,0.7883522727272727
PIRL mixed 15M,PIRL 15M,6,0.6458738181326125,0.9084201388888888
PIRL mixed 15M,PIRL 15M,7,0.7478948930899302,0.9739583333333334
PIRL mixed 15M,PIRL 15M,8,0.8456326325734457,0.9677734375
PIRL mixed 15M,PIRL 15M,9,0.9441305994987488,0.984375
