curve,tag,updates_million,value
PIRL lineage to mixedHJB 15M,Loss/HJB,0.0100000,1.02414224
PIRL lineage to mixedHJB 15M,Loss/HJB,0.0300000,1.47334902
PIRL lineage to mixedHJB 15M,Loss/HJB,0.0500000,2.68136575
PIRL lineage to mixedHJB 15M,Loss/HJB,0.0700000,3.40395529
PIRL lineage to mixedHJB 15M,Loss/HJB,0.0900000,3.31204283
PIRL lineage to mixedHJB 15M,Loss/HJB,0.1100000,3.85142965
PIRL lineage to mixedHJB 15M,Loss/HJB,0.1300000,3.81632814
PIRL lineage to mixedHJB 15M,Loss/HJB,0.1500000,2.65471466
PIRL lineage to mixedHJB 15M,Loss/HJB,0.1700000,2.54274061
PIRL lineage to mixedHJB 15M,Loss/HJB,0.1900000,2.50348544
PIRL lineage to mixedHJB 15M,Loss/HJB,0.2100000,2.07455976
PIRL lineage to mixedHJB 15M,Loss/HJB,0.2300000,1.80498521
PIRL lineage to mixedHJB 15M,Loss/HJB,0.2500000,1.79596694
PIRL lineage to mixedHJB 15M,Loss/HJB,0.2700000,1.1232666
PIRL lineage to mixedHJB 15M,Loss/HJB,0.2900000,1.01893909
PIRL lineage to mixedHJB 15M,Loss/HJB,0.3100000,1.21186376
PIRL lineage to mixedHJB 15M,Loss/HJB,0.3300000,1.00242984
PIRL lineage to mixedHJB 15M,Loss/HJB,0.3500000,0.974485922
PIRL lineage to mixedHJB 15M,Loss/HJB,0.3700000,1.63069985
PIRL lineage to mixedHJB 15M,Loss/HJB,0.3900000,1.85538509
PIRL lineage to mixedHJB 15M,Loss/HJB,0.4100000,3.07242429
PIRL lineage to mixedHJB 15M,Loss/HJB,0.4300000,5.22766671
PIRL lineage to mixedHJB 15M,Loss/HJB,0.4500000,6.22574725
PIRL lineage to mixedHJB 15M,Loss/HJB,0.4700000,6.03892865
PIRL lineage to mixedHJB 15M,Loss/HJB,0.4900000,6.35694623
PIRL lineage to mixedHJB 15M,Loss/HJB,0.5100000,5.75894799
PIRL lineage to mixedHJB 15M,Loss/HJB,0.5300000,4.30668883
PIRL lineage to mixedHJB 15M,Loss/HJB,0.5500000,3.93739886
PIRL lineage to mixedHJB 15M,Loss/HJB,0.5700000,4.67897501
PIRL lineage to mixedHJB 15M,Loss/HJB,0.5900000,5.10400801
PIRL lineage to mixedHJB 15M,Loss/HJB,0.6100000,4.79450364
PIRL lineage to mixedHJB 15M,Loss/HJB,0.6300000,4.79323983
PIRL lineage to mixedHJB 15M,Loss/HJB,0.6500000,4.66309905
PIRL lineage to mixedHJB 15M,Loss/HJB,0.6700000,3.85281358
PIRL lineage to mixedHJB 15M,Loss/HJB,0.6900000,3.41328793
PIRL lineage to mixedHJB 15M,Loss/HJB,0.7100000,3.10633612
PIRL lineage to mixedHJB 15M,Loss/HJB,0.7300000,2.48184102
PIRL lineage to mixedHJB 15M,Loss/HJB,0.7500000,2.19152296
PIRL lineage to mixedHJB 15M,Loss/HJB,0.7700000,1.95798824
PIRL lineage to mixedHJB 15M,Loss/HJB,0.7900000,1.55732684
PIRL lineage to mixedHJB 15M,Loss/HJB,0.8100000,1.80060487
PIRL lineage to mixedHJB 15M,Loss/HJB,0.8300000,1.85848258
PIRL lineage to mixedHJB 15M,Loss/HJB,0.8500000,1.83278272
PIRL lineage to mixedHJB 15M,Loss/HJB,0.8700000,1.74452636
PIRL lineage to mixedHJB 15M,Loss/HJB,0.8900000,1.77222891
PIRL lineage to mixedHJB 15M,Loss/HJB,0.9100000,1.29613463
PIRL lineage to mixedHJB 15M,Loss/HJB,0.9300000,1.42643791
PIRL lineage to mixedHJB 15M,Loss/HJB,0.9500000,1.33609799
PIRL lineage to mixedHJB 15M,Loss/HJB,0.9700000,1.30496554
PIRL lineage to mixedHJB 15M,Loss/HJB,0.9900000,1.1481938
PIRL lineage to mixedHJB 15M,Loss/HJB,1.0100000,1.0684026
PIRL lineage to mixedHJB 15M,Loss/HJB,1.0300000,0.861572552
PIRL lineage to mixedHJB 15M,Loss/HJB,1.0500000,0.789536977
PIRL lineage to mixedHJB 15M,Loss/HJB,1.0700000,0.719016737
PIRL lineage to mixedHJB 15M,Loss/HJB,1.0900000,0.69634034
PIRL lineage to mixedHJB 15M,Loss/HJB,1.1100000,0.859678882
PIRL lineage to mixedHJB 15M,Loss/HJB,1.1300000,0.894181126
PIRL lineage to mixedHJB 15M,Loss/HJB,1.1500000,0.846612853
PIRL lineage to mixedHJB 15M,Loss/HJB,1.1700000,0.903916276
PIRL lineage to mixedHJB 15M,Loss/HJB,1.1900000,0.877404273
PIRL lineage to mixedHJB 15M,Loss/HJB,1.2100000,0.742107034
PIRL lineage to mixedHJB 15M,Loss/HJB,1.2300000,0.804427648
PIRL lineage to mixedHJB 15M,Loss/HJB,1.2500000,0.795479059
PIRL lineage to mixedHJB 15M,Loss/HJB,1.2700000,0.787795603
PIRL lineage to mixedHJB 15M,Loss/HJB,1.2900000,0.858838749
PIRL lineage to mixedHJB 15M,Loss/HJB,1.3100000,0.859799516
PIRL lineage to mixedHJB 15M,Loss/HJB,1.3300000,0.710131514
PIRL lineage to mixedHJB 15M,Loss/HJB,1.3500000,0.748337686
PIRL lineage to mixedHJB 15M,Loss/HJB,1.3700000,0.743538296
PIRL lineage to mixedHJB 15M,Loss/HJB,1.3900000,0.896652067
PIRL lineage to mixedHJB 15M,Loss/HJB,1.4100000,0.910556567
PIRL lineage to mixedHJB 15M,Loss/HJB,1.4300000,1.01479107
PIRL lineage to mixedHJB 15M,Loss/HJB,1.4500000,1.08964702
PIRL lineage to mixedHJB 15M,Loss/HJB,1.4700000,1.19822791
PIRL lineage to mixedHJB 15M,Loss/HJB,1.4900000,0.969533968
PIRL lineage to mixedHJB 15M,Loss/HJB,1.5100000,1.11069129
PIRL lineage to mixedHJB 15M,Loss/HJB,1.5300000,1.02142568
PIRL lineage to mixedHJB 15M,Loss/HJB,1.5500000,1.21610436
PIRL lineage to mixedHJB 15M,Loss/HJB,1.5700000,1.26369078
PIRL lineage to mixedHJB 15M,Loss/HJB,1.5900000,1.30942842
PIRL lineage to mixedHJB 15M,Loss/HJB,1.6100000,1.23685676
PIRL lineage to mixedHJB 15M,Loss/HJB,1.6300000,1.24296319
PIRL lineage to mixedHJB 15M,Loss/HJB,1.6500000,0.974237168
PIRL lineage to mixedHJB 15M,Loss/HJB,1.6700000,1.07148534
PIRL lineage to mixedHJB 15M,Loss/HJB,1.6900000,1.17747288
PIRL lineage to mixedHJB 15M,Loss/HJB,1.7100000,1.38104196
PIRL lineage to mixedHJB 15M,Loss/HJB,1.7300000,1.50710591
PIRL lineage to mixedHJB 15M,Loss/HJB,1.7500000,1.63714504
PIRL lineage to mixedHJB 15M,Loss/HJB,1.7700000,1.42454882
PIRL lineage to mixedHJB 15M,Loss/HJB,1.7900000,1.65925269
PIRL lineage to mixedHJB 15M,Loss/HJB,1.8100000,1.45054798
PIRL lineage to mixedHJB 15M,Loss/HJB,1.8300000,1.45972505
PIRL lineage to mixedHJB 15M,Loss/HJB,1.8500000,1.69560905
PIRL lineage to mixedHJB 15M,Loss/HJB,1.8700000,1.95760698
PIRL lineage to mixedHJB 15M,Loss/HJB,1.8900000,1.767173
PIRL lineage to mixedHJB 15M,Loss/HJB,1.9100000,1.81299973
PIRL lineage to mixedHJB 15M,Loss/HJB,1.9300000,2.00157475
PIRL lineage to mixedHJB 15M,Loss/HJB,1.9500000,1.68695314
PIRL lineage to mixedHJB 15M,Loss/HJB,1.9700000,1.42737056
PIRL lineage to mixedHJB 15M,Loss/HJB,1.9900000,1.55513545
PIRL lineage to mixedHJB 15M,Loss/HJB,2.0100000,1.73330694
PIRL lineage to mixedHJB 15M,Loss/HJB,2.0300000,1.74943477
PIRL lineage to mixedHJB 15M,Loss/HJB,2.0500000,1.73335127
PIRL lineage to mixedHJB 15M,Loss/HJB,2.0700000,1.92171278
PIRL lineage to mixedHJB 15M,Loss/HJB,2.0900000,1.94620357
PIRL lineage to mixedHJB 15M,Loss/HJB,2.1100000,2.12750092
PIRL lineage to mixedHJB 15M,Loss/HJB,2.1300000,2.14378033
PIRL lineage to mixedHJB 15M,Loss/HJB,2.1500000,2.42180705
PIRL lineage to mixedHJB 15M,Loss/HJB,2.1700000,2.29395211
PIRL lineage to mixedHJB 15M,Loss/HJB,2.1900000,2.01304539
PIRL lineage to mixedHJB 15M,Loss/HJB,2.2100000,1.56746799
PIRL lineage to mixedHJB 15M,Loss/HJB,2.2300000,1.2634617
PIRL lineage to mixedHJB 15M,Loss/HJB,2.2500000,0.963855612
PIRL lineage to mixedHJB 15M,Loss/HJB,2.2700000,0.99856056
PIRL lineage to mixedHJB 15M,Loss/HJB,2.2900000,1.22268312
